track_id,track_genre,set,genre_id
2,Hip-Hop,training,21
5,Hip-Hop,training,21
10,Pop,training,10
140,Folk,training,17
141,Folk,training,17
148,Experimental,validation,38
182,Rock,test,12
190,Folk,training,17
193,Folk,training,17
194,Folk,training,17
197,Folk,training,17
200,Folk,training,17
203,Folk,training,17
204,Folk,training,17
207,Folk,training,17
210,Folk,training,17
211,Folk,training,17
212,Folk,training,17
213,Pop,training,10
255,Rock,training,12
256,Rock,training,12
368,Rock,training,12
424,Experimental,training,38
459,Rock,validation,12
534,Folk,training,17
540,Folk,training,17
546,Folk,training,17
574,Rock,training,12
602,Folk,validation,17
615,Experimental,training,38
620,Folk,training,17
621,Folk,training,17
625,Folk,training,17
666,International,training,2
667,International,training,2
676,Hip-Hop,training,21
690,Rock,validation,12
694,Hip-Hop,training,21
695,Hip-Hop,training,21
704,International,test,2
705,International,test,2
706,International,test,2
707,International,test,2
708,International,test,2
709,International,test,2
714,Folk,training,17
715,Folk,training,17
716,Folk,training,17
718,Folk,training,17
777,Rock,training,12
814,Folk,training,17
821,Pop,training,10
822,Pop,training,10
825,Rock,training,12
853,International,training,2
890,Folk,test,17
892,Folk,test,17
897,Experimental,training,38
993,Rock,validation,12
995,Experimental,training,38
997,Experimental,training,38
998,Experimental,training,38
1039,Rock,training,12
1040,Rock,training,12
1066,Experimental,test,38
1069,Experimental,test,38
1073,Experimental,test,38
1075,Experimental,test,38
1082,International,training,2
1083,Experimental,training,38
1087,Rock,validation,12
1102,Rock,training,12
1193,Folk,training,17
1195,Folk,training,17
1196,Folk,training,17
1197,Folk,training,17
1249,Experimental,test,38
1259,Experimental,test,38
1270,Rock,training,12
1276,Experimental,training,38
1277,Experimental,training,38
1278,Experimental,training,38
1417,Rock,training,12
1427,Rock,training,12
1443,Experimental,training,38
1482,Electronic,training,15
1510,Experimental,training,38
1544,Folk,training,17
1642,Pop,training,10
1644,Pop,training,10
1649,Pop,training,10
1661,Pop,training,10
